Epoch 77, Average Loss: 0.0892
Epoch 78, Average Loss: 0.0508
Epoch 79, Average Loss: 0.0780
Epoch 80, Average Loss: 0.0400
Epoch 81, Average Loss: 0.0518
Epoch 82, Average Loss: 0.0348
Epoch 83, Average Loss: 0.0747
Epoch 84, Average Loss: 0.0465
Epoch 85, Average Loss: 0.0535
Epoch 86, Average Loss: 0.3383
Epoch 87, Average Loss: 0.1570
Epoch 88, Average Loss: 0.0664
Epoch 89, Average Loss: 0.0411
Epoch 90, Average Loss: 0.0336
Epoch 91, Average Loss: 0.0297
Epoch 92, Average Loss: 0.0267
Epoch 93, Average Loss: 0.1322
Epoch 94, Average Loss: 0.0526
Epoch 95, Average Loss: 0.0393
Epoch 96, Average Loss: 0.0383
Epoch 97, Average Loss: 0.0329
Epoch 98, Average Loss: 0.0351
Epoch 99, Average Loss: 0.0566
Epoch 100, Average Loss: 0.0482
Epoch 101, Average Loss: 0.0286
Epoch 102, Average Loss: 0.0292
Epoch 103, Average Loss: 0.1664
Epoch 104, Average Loss: 0.0730
Epoch 105, Average Loss: 0.0524
Epoch 106, Average Loss: 0.0400
Epoch 107, Average Loss: 0.0324
Epoch 108, Average Loss: 0.0313
Epoch 109, Average Loss: 0.0466
Epoch 110, Average Loss: 0.0436
Epoch 111, Average Loss: 0.0373
Epoch 112, Average Loss: 0.0416
Epoch 113, Average Loss: 0.0324
Epoch 114, Average Loss: 0.0580
Epoch 115, Average Loss: 0.0355
Epoch 116, Average Loss: 0.0462
Epoch 117, Average Loss: 0.0777
Epoch 118, Average Loss: 0.0424
Epoch 119, Average Loss: 0.0385
Epoch 120, Average Loss: 0.0355
Epoch 121, Average Loss: 0.0265
Epoch 122, Average Loss: 0.0371
Epoch 123, Average Loss: 0.1500
Epoch 124, Average Loss: 0.0713
Epoch 125, Average Loss: 0.0321
Epoch 126, Average Loss: 0.0287
Epoch 127, Average Loss: 0.0343
Epoch 128, Average Loss: 0.0320
Epoch 129, Average Loss: 0.0350
Epoch 130, Average Loss: 0.0331
Epoch 131, Average Loss: 0.0313
Epoch 132, Average Loss: 0.0656
Epoch 133, Average Loss: 0.0344
Epoch 134, Average Loss: 0.0506
Epoch 135, Average Loss: 0.0475
Epoch 136, Average Loss: 0.0336
Epoch 137, Average Loss: 0.0863
Epoch 138, Average Loss: 0.1252
Epoch 139, Average Loss: 0.0693
Epoch 140, Average Loss: 0.0382
Epoch 141, Average Loss: 0.0328
Epoch 142, Average Loss: 0.0279
Epoch 143, Average Loss: 0.0630
Epoch 144, Average Loss: 0.0982
Epoch 145, Average Loss: 0.0605
Epoch 146, Average Loss: 0.0365
Epoch 147, Average Loss: 0.0276
Epoch 148, Average Loss: 0.0250
Epoch 149, Average Loss: 0.0432
Epoch 150, Average Loss: 0.0604
Epoch 151, Average Loss: 0.0503
Epoch 152, Average Loss: 0.0412
Epoch 153, Average Loss: 0.1110
Epoch 154, Average Loss: 0.0552
Epoch 155, Average Loss: 0.0425
Epoch 156, Average Loss: 0.0292
Epoch 157, Average Loss: 0.0363
Epoch 158, Average Loss: 0.0509
Epoch 159, Average Loss: 1.0481
Epoch 160, Average Loss: 0.1980
Epoch 161, Average Loss: 0.0967
Epoch 162, Average Loss: 0.0604
Epoch 163, Average Loss: 0.0795
Epoch 164, Average Loss: 0.0447
Epoch 165, Average Loss: 0.0446
Epoch 166, Average Loss: 0.0508
Epoch 167, Average Loss: 0.0412
Epoch 168, Average Loss: 0.0402
Epoch 169, Average Loss: 0.0360
Epoch 170, Average Loss: 0.0463
Epoch 171, Average Loss: 0.0740
Epoch 172, Average Loss: 0.0367
Epoch 173, Average Loss: 0.0371
Epoch 174, Average Loss: 0.0713
Epoch 175, Average Loss: 0.0373
Epoch 176, Average Loss: 0.0458
Epoch 177, Average Loss: 0.0414
Epoch 178, Average Loss: 0.0410
Epoch 179, Average Loss: 0.0610
Epoch 180, Average Loss: 0.0485
Epoch 181, Average Loss: 0.0376
Epoch 182, Average Loss: 0.0422
Epoch 183, Average Loss: 0.0628
Epoch 184, Average Loss: 0.0436
Epoch 185, Average Loss: 0.0464
Epoch 186, Average Loss: 0.0527
Epoch 187, Average Loss: 0.0354
Epoch 188, Average Loss: 0.0389
Epoch 189, Average Loss: 0.0364
Epoch 190, Average Loss: 0.4907
Epoch 191, Average Loss: 0.3191
Epoch 192, Average Loss: 0.4839
Epoch 193, Average Loss: 0.1209
Epoch 194, Average Loss: 0.0918
Epoch 195, Average Loss: 0.0935
Epoch 196, Average Loss: 0.0710
Epoch 197, Average Loss: 0.0764
Epoch 198, Average Loss: 0.0686
Epoch 199, Average Loss: 0.0679
