step = 40, best_ACC, [acc, mae] = [0.061914555728435516, 1.7417173779283441]
step = 40, best_MAE, [acc, mae] = [0.061914555728435516, 1.7417173779283441]
step = 80, best_ACC, [acc, mae] = [0.08407585322856903, 1.7639781533775931]
step = 120, best_ACC, [acc, mae] = [0.37011653184890747, 1.7994968799978261]
step = 160, best_ACC, [acc, mae] = [0.3856522738933563, 1.7957051034839995]
step = 280, best_ACC, [acc, mae] = [0.46904271841049194, 1.744034651109618]
step = 320, best_MAE, [acc, mae] = [0.4445967674255371, 1.7221821915525972]
step = 360, best_MAE, [acc, mae] = [0.4509938359260559, 1.6586732990607391]
step = 400, best_ACC, [acc, mae] = [0.4774959981441498, 1.6359808592081941]
step = 400, best_MAE, [acc, mae] = [0.4774959981441498, 1.6359808592081941]
step = 440, best_ACC, [acc, mae] = [0.5033127665519714, 1.5306155205832364]
step = 440, best_MAE, [acc, mae] = [0.5033127665519714, 1.5306155205832364]
step = 480, best_MAE, [acc, mae] = [0.46972814202308655, 1.4739213744325763]
step = 520, best_MAE, [acc, mae] = [0.48183688521385193, 1.3497489909246212]
step = 600, best_MAE, [acc, mae] = [0.45784783363342285, 1.3342203788790115]
step = 640, best_MAE, [acc, mae] = [0.3372172713279724, 1.2110401931843113]
step = 720, best_ACC, [acc, mae] = [0.5257025361061096, 1.1597211956868223]
step = 720, best_MAE, [acc, mae] = [0.5257025361061096, 1.1597211956868223]
step = 760, best_ACC, [acc, mae] = [0.5544893741607666, 0.9600770747465561]
step = 760, best_MAE, [acc, mae] = [0.5544893741607666, 0.9600770747465561]
step = 880, best_MAE, [acc, mae] = [0.38450995087623596, 0.9566833001624426]
step = 920, best_MAE, [acc, mae] = [0.5528901219367981, 0.902132749285907]
step = 1080, best_MAE, [acc, mae] = [0.5432944893836975, 0.8547856416635615]
step = 1360, best_MAE, [acc, mae] = [0.4941740930080414, 0.8093868503183619]
step = 1640, best_MAE, [acc, mae] = [0.5131368637084961, 0.7523171491640336]
step = 1880, best_ACC, [acc, mae] = [0.5551747679710388, 0.7887891836479415]
step = 2080, best_ACC, [acc, mae] = [0.5677404403686523, 0.7735490989519538]
step = 2120, best_ACC, [acc, mae] = [0.5812200307846069, 0.7283969688396258]
step = 2120, best_MAE, [acc, mae] = [0.5812200307846069, 0.7283969688396258]
step = 2440, best_ACC, [acc, mae] = [0.5908156633377075, 0.6873002795261102]
step = 2440, best_MAE, [acc, mae] = [0.5908156633377075, 0.6873002795261102]
step = 2520, best_MAE, [acc, mae] = [0.555631697177887, 0.6836431224906329]
step = 2720, best_MAE, [acc, mae] = [0.5825908184051514, 0.6600131162347532]
step = 3080, best_MAE, [acc, mae] = [0.5869317054748535, 0.6532449848324555]
step = 3480, best_MAE, [acc, mae] = [0.5816769599914551, 0.6171197601864987]
step = 3720, best_ACC, [acc, mae] = [0.599497377872467, 0.6059923291337206]
step = 3720, best_MAE, [acc, mae] = [0.599497377872467, 0.6059923291337206]
step = 3840, best_MAE, [acc, mae] = [0.59629887342453, 0.5790512420028265]
step = 3960, best_ACC, [acc, mae] = [0.6001827716827393, 0.6373144276139017]
step = 4200, best_ACC, [acc, mae] = [0.6086360812187195, 0.5724137299309292]
step = 4200, best_MAE, [acc, mae] = [0.6086360812187195, 0.5724137299309292]
step = 4480, best_ACC, [acc, mae] = [0.6225725412368774, 0.5496471651829455]
step = 4480, best_MAE, [acc, mae] = [0.6225725412368774, 0.5496471651829455]
step = 4880, best_MAE, [acc, mae] = [0.6070367693901062, 0.5358663231482838]
step = 5000, best_MAE, [acc, mae] = [0.621201753616333, 0.5208252787669049]
step = 5440, best_ACC, [acc, mae] = [0.632168173789978, 0.5274728079857209]
step = 5880, best_ACC, [acc, mae] = [0.6465615630149841, 0.492477333504417]
step = 5880, best_MAE, [acc, mae] = [0.6465615630149841, 0.492477333504417]
step = 6920, best_ACC, [acc, mae] = [0.664838969707489, 0.4697171907567048]
step = 6920, best_MAE, [acc, mae] = [0.664838969707489, 0.4697171907567048]
step = 8000, best_ACC, [acc, mae] = [0.667809009552002, 0.48559862486256444]
step = 8080, best_MAE, [acc, mae] = [0.6451907753944397, 0.46951244927864527]
step = 8120, best_MAE, [acc, mae] = [0.660955011844635, 0.4541002493951139]
step = 8400, best_MAE, [acc, mae] = [0.6522732377052307, 0.45045655769844833]
step = 8600, best_ACC, [acc, mae] = [0.6684944033622742, 0.4434902466879566]
step = 8600, best_MAE, [acc, mae] = [0.6684944033622742, 0.4434902466879566]
step = 9000, best_ACC, [acc, mae] = [0.6792323589324951, 0.4259039313354671]
step = 9000, best_MAE, [acc, mae] = [0.6792323589324951, 0.4259039313354671]
step = 9080, best_ACC, [acc, mae] = [0.6849440336227417, 0.4145771863002274]
step = 9080, best_MAE, [acc, mae] = [0.6849440336227417, 0.4145771863002274]
step = 9280, best_ACC, [acc, mae] = [0.6949965953826904, 0.4099735094555554]
step = 9280, best_MAE, [acc, mae] = [0.6949965953826904, 0.4099735094555554]
step = 10520, best_MAE, [acc, mae] = [0.6803746819496155, 0.40869883585043226]
step = 12520, best_MAE, [acc, mae] = [0.6758053302764893, 0.4073611212230455]
step = 12640, best_MAE, [acc, mae] = [0.6783185005187988, 0.4073578018307273]
step = 12720, best_MAE, [acc, mae] = [0.6776331067085266, 0.40181916062765544]
step = 13000, best_MAE, [acc, mae] = [0.6819739937782288, 0.39750908640382837]
step = 13040, best_MAE, [acc, mae] = [0.6844871044158936, 0.39168582005788577]
step = 13600, best_MAE, [acc, mae] = [0.6840301752090454, 0.3897897331555606]
step = 14760, best_MAE, [acc, mae] = [0.6817454695701599, 0.3872591429698658]
step = 14800, best_MAE, [acc, mae] = [0.685857892036438, 0.38670516796530024]
step = 15680, best_MAE, [acc, mae] = [0.679003894329071, 0.38582415487875704]
